AASDHPPT	Q9NRN7	syn9735917
CD74	P04233	syn9737210
CD79B	P40259	syn9737211
CD80	P33681	syn9737212
CD81	P60033	syn9737213
CD84	Q9UIB8	syn9737214
CD86	P42081	syn9737215
CD8A	P01732	syn9737216
CDA	P32320	syn9737217
CDC14B	O60729	syn9737218
CDC16	Q13042	syn9737219
CDC20	Q12834	syn9737220
CDC23	Q9UJX2	syn9737221
CDC25A	P30304	syn9737222
CDC25B	P30305	syn9737223
CDC25C	P30307	syn9737224
CDC26	Q8NHZ8	syn9737225
CDC27	P30260	syn9737226
CDC34	P49427	syn9737227
CDC37	Q16543	syn9737228
CDC42	P60953	syn9737229
CDC42BPB	Q9Y5S2	syn9737230
CDC45	O75419	syn9737231
CDC5L	Q99459	syn9737232
CDC6	Q99741	syn9737233
CDC7	O00311	syn9737234
CDCA2	Q69YH5	syn9737235
CDCA8	Q53HL2	syn9737236
CDH1	P12830	syn9737237
CDH13	P55290	syn9737238
CDH23	Q9H251	syn9737239
CDH3	P22223	syn9737240
CDHR2	Q9BYE9	syn9737241
CDK1	P06493	syn9737242
CDK12	Q9NYV4	syn9737243
CDK13	Q14004	syn9737244
CDK16	Q00536	syn9737245
CDK2	P24941	syn9737246
CDK2AP1	O14519	syn9737247
CDK2AP2	O75956	syn9737248
CDK3	Q00526	syn9737249
CDK4	P11802	syn9737250
CDK5	Q00535	syn9737251
CDK5R1	Q15078	syn9737252
CDK6	Q00534	syn9737253
CDK7	P50613	syn9737254
CDK8	P49336	syn9737255
CDK9	P50750	syn9737256
CDKL1	Q00532	syn9737257
CDKL2	Q92772	syn9737258
CDKL3	Q8IVW4	syn9737259
CDKL5	O76039	syn9737260
CDKN1A	P38936	syn9737261
CDKN1B	P46527	syn9737262
CDKN2C	P42773	syn9737263
CDKN2D	P55273	syn9737264
CDKN3	Q16667	syn9737265
CDNF	Q49AH0	syn9737266
CDO1	Q16878	syn9737267
CDON	Q4KMG0	syn9737268
CDT1	Q9H211	syn9737269
CDY1	Q9Y6F8	syn9737270
CDY2A	Q9Y6F7	syn9737271
CDYL	Q9Y232	syn9737272
CDYL2	Q8N8U2	syn9737273
CEACAM1	P13688	syn9737274
CEACAM5	P06731	syn9737275
CEACAM6	P40199	syn9737276
CEACAM8	P31997	syn9737277
CEBPB	P17676	syn9737278
CECR1	Q9NZK5	syn9737279
CECR2	Q9BXF3	syn9737280
CEL	P19835	syn9737281
CELF1	Q92879	syn9737282
CELF2	O95319	syn9737283
CENPA	P49450	syn9737284
CENPB	P07199	syn9737285
CENPC	Q03188	syn9737286
CENPE	Q02224	syn9737287
CENPJ	Q9HC77	syn9737288
CENPM	Q9NSP4	syn9737289
CENPS	Q8N2Z9	syn9737290
CENPX	A8MT69	syn9737291
